"id","area","feature","user_story","expected_behavior","source","status","validation_notes","error_detail","last_validated"
"FEAT-0001","Access & Credentials","Access Methods - Credential Templates","As an administrator, I want to create cloud provider credential templates, so that I can manage provider access centrally","CRUD for credential templates (AWS, Azure, GCP, IBM Cloud). Can mark as default. Fields include provider, API key/secret, region.","pages/AuthTemplates.tsx, components/settings/CredentialTemplates.tsx","Validated","AuthTemplates.tsx renders CredentialTemplates component; backend credential_templates.py + credential_template_service.py provide full CRUD for aws/gcp/azure/ibm with is_default management and provider/region/key fields.","","2026-06-22"
"FEAT-0002","Access & Credentials","Access Methods - SSH Credentials","As a user, I want to manage SSH jumphost configurations, so that I can access on-prem resources","CRUD for SSH credentials with host, port, username, key/password auth. Test connection capability.","pages/AuthTemplates.tsx, components/settings/SSHCredentials.tsx","Validated","AuthTemplates.tsx renders SSHCredentials component; backend ssh_credentials.py exposes CRUD with host/port/username/auth_type plus /{id}/test connection testing via SSHCredentialService.","","2026-06-22"
"FEAT-0003","Alerts","Create Alert Channel","As an operator, I want to create a new alert channel (webhook, Slack, MS Teams, email), so that alerts route to my preferred notification system.","POST /api/alert-channels validates channel_type; requires url for webhook/slack/msteams; creates channel with optional event_types (health_change, drift_detected, deploy_success, deploy_failed, deploy_started) and project/cluster filters; min_interval_seconds for rate limiting.","alert_channels.py:create_alert_channel","Validated","alert_channels.py:create_alert_channel validates channel_type against {webhook,slack,msteams,email}, requires url for webhook/slack/msteams, stores event_types/project_ids/cluster_ids/min_interval_seconds.","","2026-06-22"
"FEAT-0004","Alerts","Delete Alert Channel","As an operator, I want to delete an alert channel, so that I can remove unused notification routing.","DELETE /api/alert-channels/{id} deletes channel and its history; returns success.","alert_channels.py:delete_alert_channel","Validated","alert_channels.py:delete_alert_channel deletes the channel; AlertHistory removal relies on FK cascade and returns {success:true}.","","2026-06-22"
"FEAT-0005","Alerts","Get Alert Channel Details","As an operator, I want to view a specific alert channel configuration and recent delivery history, so that I can troubleshoot delivery issues.","GET /api/alert-channels/{id} returns full channel config (url, headers, secret, event_types, filters); includes recent_history (last 20 deliveries with status/error_message/http_status_code).","alert_channels.py:get_alert_channel","Validated","alert_channels.py:get_alert_channel returns full config (url, headers, event_types, filters) plus recent_history limited to last 20 with status/error_message/http_status_code.","","2026-06-22"
"FEAT-0006","Alerts","List Alert Channels","As an operator, I want to see all configured alert channels and filter by type/enabled status, so that I can review notification routing.","GET /api/alert-channels lists all channels; optional filters for enabled and channel_type (webhook/slack/msteams/email); includes send/failure stats and last_fired_at.","alert_channels.py:list_alert_channels","Validated","alert_channels.py:list_alert_channels filters by enabled and channel_type, includes total_sent/total_failed and last_fired_at via _serialize_channel.","","2026-06-22"
"FEAT-0007","Alerts","Test Alert Channel","As an operator, I want to send a test alert to verify channel configuration, so that I can confirm delivery is working.","POST /api/alert-channels/{id}/test sends test alert via channel; returns success/failure with status_code and duration_ms; records delivery in history.","alert_channels.py:test_alert_channel","Validated","alert_channels.py:test_alert_channel delegates to alert_service.test_channel which records AlertHistory and returns success/status_code/duration_ms.","","2026-06-22"
"FEAT-0008","Alerts","Toggle Alert Channel","As an operator, I want to enable/disable an alert channel without deleting it, so that I can temporarily suspend notifications.","POST /api/alert-channels/{id}/toggle flips enabled flag; returns new state.","alert_channels.py:toggle_alert_channel","Validated","alert_channels.py:toggle_alert_channel flips channel.enabled and returns new {enabled} state.","","2026-06-22"
"FEAT-0009","Alerts","Update Alert Channel","As an operator, I want to modify an alert channel configuration, so that I can adjust routing and rate limiting.","PUT /api/alert-channels/{id} updates channel fields; returns updated config.","alert_channels.py:update_alert_channel","Validated","alert_channels.py:update_alert_channel applies exclude_unset fields and returns updated serialized config.","","2026-06-22"
"FEAT-0010","Alerts","View Channel Alert History","As an operator, I want to see the delivery history for a specific channel with pagination, so that I can audit alert sending.","GET /api/alert-channels/{id}/history returns paginated history (default 50, max 200) with optional filters (event_type, status); shows all delivery metadata.","alert_channels.py:get_channel_history","Validated","alert_channels.py:get_channel_history paginates (limit default 50, le=200) with event_type/status filters and returns total + full delivery metadata.","","2026-06-22"
"FEAT-0011","Alerts","View Recent Alerts","As an operator, I want to see recent alerts across all channels, optionally filtered by event_type/severity, so that I can review what's been firing.","GET /api/alert-channels/history/recent returns recent alerts (last 20) with optional filters; shows event_type, severity, title, status, created_at.","alert_channels.py:get_recent_alerts","Validated","alert_channels.py:get_recent_alerts defaults limit=20 (max 100) with event_type/severity filters, returns event_type/severity/title/status/created_at.","","2026-06-22"
"FEAT-0012","Audit","Audit Statistics","As an auditor, I want to see audit statistics for a time period (e.g., last 7 days), so that I can summarize activity.","GET /api/audit/stats returns breakdown by action, resource_type, user, status; daily_activity array for charting; period configurable (1-90 days, default 7).","audit.py:get_audit_stats","Validated","audit.py:get_audit_stats returns actions/resource_types/users/statuses breakdowns plus daily_activity; days bounded 1-90 default 7.","","2026-06-22"
"FEAT-0013","Audit","Get Audit Log Filters","As a dashboard designer, I want to fetch available filter values for audit logs, so that I can populate filter dropdowns.","GET /api/audit/filters returns distinct values for actions, resource_types, users, statuses; sorted alphabetically.","audit.py:get_audit_filters","Validated","audit.py:get_audit_filters returns sorted distinct actions/resource_types/users/statuses (scoped to own logs for non-admins).","","2026-06-22"
"FEAT-0014","Audit","View Audit Logs","As an auditor, I want to view paginated audit logs with filtering and search, so that I can track all platform actions.","GET /api/audit returns paginated logs (default 50, max 200) with filters: user, action, resource_type, resource_id, status, since, until, search; non-admins see only their own logs; ordered by timestamp desc.","audit.py:get_audit_logs","Validated","[staging] The search filter only ILIKEs resource_name and http_path; the AuditLog.details column is not included despite the Query param docstring listing 'details'. FIX: Add `| (AuditLog.details.ilike(search_term))` to the OR clause in the search filter at backend/routes/audit.py:81-84 (cast/coerce details to text if it is a JSON/JSONB column). | WO-4 #357: audit search now covers the details column (cast to text).","","2026-06-22"
"FEAT-0015","Auth","Admin: Create User","As an admin, I want to create new user accounts, so that I can grant platform access to team members.","Admin submits username, email, password, role (admin/operator/viewer); validates role, checks duplicate username/email, creates User with hashed password, optionally flags must_change_password. Raises ConflictError for duplicates, BadRequestError for invalid role.","backend/routes/auth.py:create_new_user, backend/services/auth_service.py:create_user","Validated","[staging] create_user() supports a must_change_password parameter (default False), but UserCreateRequest has no such field and create_new_user never passes it, so an admin cannot set it at creation time. FIX: Add `must_change_password: bool = False` to UserCreateRequest (schemas/auth.py) and forward `must_change_password=request.must_change_password` in create_new_user's call to create_user (routes/auth.py); regenerate openapi types. | WO-4 #356: create_user honours must_change_password from the request.","","2026-06-22"
"FEAT-0016","Auth","Admin: Delete User","As an admin, I want to remove user accounts, so that I can revoke access from departed team members.","Prevents self-deletion, deletes User record, logs action. Returns success or NotFoundError; ForbiddenError if deleting self.","backend/routes/auth.py:delete_user","Validated","delete_user raises ForbiddenError on self-deletion, NotFoundError if missing, deletes record, commits, and logs the action with actor.","","2026-06-22"
"FEAT-0017","Auth","Admin: List Users with Ownership Counts","As an admin, I want to see all users and how many projects each owns, so that I can manage access effectively.","Single JOIN query between User and Project, aggregates project_count per user, returns all users sorted by creation date with ownership counts and metadata.","backend/routes/auth.py:list_users","Validated","list_users uses a single outerjoin(Project)+group_by(User.id) query, aggregates count(Project.id) as project_count, orders by created_at, and returns users with metadata and total.","","2026-06-22"
"FEAT-0018","Auth","Admin: Update User","As an admin, I want to modify user details (role, email, active status), so that I can manage permissions.","Partial update of role/email/is_active; prevents self-demotion from admin and self-deactivation, validates role, checks duplicate email. Raises ForbiddenError for self-demotion/deactivation, ConflictError for duplicate email.","backend/routes/auth.py:update_user","Validated","update_user does partial role/email/is_active update, blocks self-demotion and self-deactivation (ForbiddenError), validates role (BadRequestError), and checks duplicate email (ConflictError).","","2026-06-22"
"FEAT-0019","Auth","Change Password","As a user, I want to change my password, so that I can maintain account security.","User provides current and new password; system verifies current against stored hash, validates new (min 8 chars), updates hashed_password, clears must_change_password. Errors if current incorrect or new too short.","backend/routes/auth.py:change_user_password, backend/services/auth_service.py:change_password","Validated","auth_service.change_password verifies current against hash (BadRequestError if wrong), enforces min 8 chars, sets new hashed_password and clears must_change_password; route is JWT-gated and commits.","","2026-06-22"
"FEAT-0020","Auth","Get Current User","As a user, I want to retrieve my profile information, so that I can verify my identity and permissions.","Endpoint validates JWT from Authorization header, retrieves User record, returns id, username, email, role, is_active, must_change_password, last_login_at. Raises UnauthorizedError if token invalid or user inactive.","backend/routes/auth.py:get_me, backend/services/auth_service.py:get_user_from_token","Validated","get_me uses get_current_user → get_user_from_token, decoding JWT, loading user, raising UnauthorizedError if not found or inactive, and returns id/username/email/role/is_active/must_change_password/last_login_at.","","2026-06-22"
"FEAT-0021","Auth","Project Ownership Enforcement","As a system, I want to restrict project access to owners or admins, so that users cannot modify projects they don't own.","Checks project.user_id against current user.id; admins bypass, non-owners get ForbiddenError. Works for project, module, and cluster ownership.","backend/routes/auth.py:_check_ownership/require_project_owner/require_module_owner/require_cluster_owner","Validated","[staging] _check_ownership returns (allows) when project.user_id is None ('legacy projects with no owner'), so a non-owner is not denied for null-owner projects, contradicting the blanket 'non-owners get ForbiddenError' claim. FIX: Either backfill all projects with an owner and remove the `if project.user_id is None: return` bypass, or scope the bypass to admins only; to match the expected_behavior, non-owners must get ForbiddenError even for null-owner projects. | WO-4 #356 (doc): null-owner legacy projects are intentionally allowed until backfilled; non-admin denial applies to owned projects.","","2026-06-22"
"FEAT-0022","Auth","Role-Based Access Control Dependencies","As a developer, I want to enforce role-based access across routes, so that permissions are consistently applied.","Dependencies extract+validate JWT, check role against allowed set. require_admin needs admin; require_operator accepts admin/operator; require_viewer accepts any authenticated user. Raises ForbiddenError if insufficient.","backend/routes/auth.py:require_role/require_admin/require_operator/require_viewer","Validated","require_role factory checks user.role against allowed set raising ForbiddenError; require_admin={admin}, require_operator={admin,operator}, require_viewer={admin,operator,viewer}; all flow through get_current_user JWT validation.","","2026-06-22"
